Name,id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Buchs (AG),AG_1,45221,47105,45046,42011,64247,64431,68333,64348,73646,73914,82067,79557
Oftringen,AG_2,46166,46181,46821,45906,46689,21865,46242,45827,45412,47962,44494,45974
Turgi,AG_3,68338,69023,68877,67293,66822,63914,63679,64470,63612,63237,63692,59017
Bern,BE_1,18795,23339,20000,46554,45198,60519,73081,72863,76311,75372,77655,59787
Biel,BE_2,15000,17761,16969,14750,14326,15629,14583,15438,14929,14236,15507,14453
Thun,BE_3,70199,69391,67576,72534,73262,71084,73291,64382,75287,73001,73104,74106
Basel,BS_1,28820,41171,45056,44408,55193,59158,47708,54964,58461,55543,51735,57686
Posieux,FR_1,52000,55166,45056,53915,53956,55504,45785,54781,56972,42175,59319,58288
Genf,GE_1,93658,98601,102283,84382,88665,82198,80646,88151,71719,70656,81582,86185
Niederurnen,GL_1,63606,58860,62616,60223,63826,62224,64327,64183,36889,62641,63036,62155
Trimmis,GR_1,39851,50254,47901,42593,49191,45817,44649,46295,48691,44521,43489,40107
Perlen,LU_2,0,0,0,0,0,100658,149511,151555,164449,155779,175249,167175
Colombier ,NE_1,27079,27861,26002,22558,24766,25500,18325,11899,26464,29442,28578,29377
La Chaux-de-Fonds ,NE_2,18358,18309,16903,16900,18942,15111,15636,15549,14982,13190,13732,11966
Bazenheid,SG_1,9000,9643,10853,8075,21381,36289,40039,41019,39065,37651,27071,24932
Buchs (SG),SG_2,87704,88895,84143,77588,85227,81204,82712,79969,83740,73700,67938,72966
St. Gallen,SG_3,24696,26438,18574,23113,20869,18232,18981,18095,12332,20106,5953,12677
Zuchwil,SO_1,40216,39341,50144,132666,136451,134900,124869,123748,129084,129095,126672,123603
Weinfelden,TG_1,31350,39133,39527,38127,40176,39873,43513,41327,43982,48452,51393,45373
Giubiasco,TI_1,97638,101842,106718,102212,98235,103862,105845,103597,99467,100122,92588,99066
Lausanne,VD_2,55773,65874,63624,46922,52101,58423,63037,70548,70086,69849,56310,76110
Gamsen,VS_1,509,510,534,511,426,671,426,847,651,907,898,1247
Sion,VS_2,27212,26342,26529,24556,25955,23055,23864,23314,27329,26227,21902,2254
Monthey,VS_3,80182,50576,112786,97010,111816,86413,113888,107423,90212,109733,113575,100959
Dietikon,ZH_1,47919,50675,49832,50627,53094,51773,55517,53305,54388,47447,46329,44043
Hinwil,ZH_2,89089,98781,99645,102441,102341,91368,110190,112274,102185,108743,111906,111731
Horgen,ZH_3,18131,19382,19033,18862,20463,8839,12603,18954,18818,18776,19585,18439
ZH Hagenholz,ZH_4,88691,92843,82187,96570,101598,95197,104570,104002,104084,103211,103405,72813
ZH Josefstrasse ,ZH_5,49763,32098,32328,31413,33837,31909,30677,30767,31213,31655,31175,6536
Winterthur,ZH_6,31585,31632,64154,89136,89204,109850,108663,108547,96131,108015,105548,93862
